measure_name,location_name,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,1990,7536.136531,12750.85538,4023.01785
DALYs (Disability-Adjusted Life Years),Global,1991,7206.214622,12492.49144,3936.373525
DALYs (Disability-Adjusted Life Years),Global,1992,6820.047164,11123.55653,3601.243746
DALYs (Disability-Adjusted Life Years),Global,1993,6557.835075,10844.30228,3487.247985
DALYs (Disability-Adjusted Life Years),Global,1994,6412.061009,10513.60231,3479.514859
DALYs (Disability-Adjusted Life Years),Global,1995,6342.810603,11056.69614,3365.757709
DALYs (Disability-Adjusted Life Years),Global,1996,6118.116764,10458.16294,3206.646845
DALYs (Disability-Adjusted Life Years),Global,1997,5997.834973,9553.126287,3330.291256
DALYs (Disability-Adjusted Life Years),Global,1998,5863.777583,9601.333741,3528.028344
DALYs (Disability-Adjusted Life Years),Global,1999,5771.104717,9938.089506,3261.665396
DALYs (Disability-Adjusted Life Years),Global,2000,5607.340253,8887.765307,3066.014498
DALYs (Disability-Adjusted Life Years),Global,2001,5475.001714,9665.239866,3106.281141
DALYs (Disability-Adjusted Life Years),Global,2002,5308.594033,9021.76271,2913.096594
DALYs (Disability-Adjusted Life Years),Global,2003,5203.520981,8882.997026,2707.660773
DALYs (Disability-Adjusted Life Years),Global,2004,4872.141597,7765.025359,2616.844804
DALYs (Disability-Adjusted Life Years),Global,2005,4604.165551,8307.964227,2469.855715
DALYs (Disability-Adjusted Life Years),Global,2006,4383.161761,7429.724262,2198.529785
DALYs (Disability-Adjusted Life Years),Global,2007,4254.263614,7223.797434,2291.885368
DALYs (Disability-Adjusted Life Years),Global,2008,3996.770975,7206.044017,2190.335208
DALYs (Disability-Adjusted Life Years),Global,2009,3922.043629,6314.580972,2030.178267
DALYs (Disability-Adjusted Life Years),Global,2010,3778.697027,6177.443337,2172.629197
DALYs (Disability-Adjusted Life Years),Global,2011,3667.93353,6158.099472,1940.42475
DALYs (Disability-Adjusted Life Years),Global,2012,3630.039867,6036.285749,2030.714989
DALYs (Disability-Adjusted Life Years),Global,2013,3570.509836,5982.3425,1905.328854
DALYs (Disability-Adjusted Life Years),Global,2014,3572.824424,5884.440426,2153.795861
DALYs (Disability-Adjusted Life Years),Global,2015,3527.409205,5613.959738,1942.858744
DALYs (Disability-Adjusted Life Years),Global,2016,3443.783673,5304.805723,2066.288456
DALYs (Disability-Adjusted Life Years),Global,2017,3424.102872,5596.664256,1914.479415
DALYs (Disability-Adjusted Life Years),Global,2018,3355.608025,5442.985464,1893.600969
DALYs (Disability-Adjusted Life Years),Global,2019,3313.847529,5511.554574,1924.870606
DALYs (Disability-Adjusted Life Years),Global,2020,1884.754073,2939.272057,1083.139253
DALYs (Disability-Adjusted Life Years),Global,2021,1428.40844,2238.86029,805.7700171
DALYs (Disability-Adjusted Life Years),Global,2022,3315.980249,5235.621128,1793.62083
DALYs (Disability-Adjusted Life Years),Global,2023,3270.898613,5494.409354,1912.349898
DALYs (Disability-Adjusted Life Years),High SDI,1990,1313.119499,3213.048626,504.3328738
DALYs (Disability-Adjusted Life Years),High SDI,1991,1256.916644,2544.270919,465.2899158
DALYs (Disability-Adjusted Life Years),High SDI,1992,1193.534248,2443.59064,441.7245558
