location_name,year,dalys_rate
Global,1990,7536.134515
Global,1991,7206.216354
Global,1992,6820.04726
Global,1993,6557.833743
Global,1994,6412.061127
Global,1995,6342.810824
Global,1996,6118.117098
Global,1997,5997.83564
Global,1998,5863.780403
Global,1999,5771.104162
Global,2000,5607.343313
Global,2001,5475.000617
Global,2002,5308.595326
Global,2003,5203.522219
Global,2004,4872.140585
Global,2005,4604.16441
Global,2006,4383.161031
Global,2007,4254.263215
Global,2008,3996.770282
Global,2009,3922.042235
Global,2010,3778.69865
Global,2011,3667.936436
Global,2012,3630.039873
Global,2013,3570.508917
Global,2014,3572.824947
Global,2015,3527.409481
Global,2016,3443.784943
Global,2017,3424.101527
Global,2018,3355.609173
Global,2019,3313.846249
Global,2020,1884.75397
Global,2021,1428.408304
Global,2022,3315.981072
Global,2023,3270.885703
High SDI,1990,1313.119499
High SDI,1991,1256.916644
High SDI,1992,1193.534248
High SDI,1993,1173.460229
High SDI,1994,1150.323333
High SDI,1995,1099.561109
High SDI,1996,1058.67274
High SDI,1997,959.5173389
High SDI,1998,882.536251
High SDI,1999,788.5781265
High SDI,2000,721.3986211
High SDI,2001,652.3080977
High SDI,2002,589.4096297
High SDI,2003,547.3938302
High SDI,2004,480.4210572
High SDI,2005,428.8712696
High SDI,2006,374.1035642
High SDI,2007,350.0845683
High SDI,2008,328.7013226
High SDI,2009,303.4480625
High SDI,2010,280.2396185
High SDI,2011,260.7988715
High SDI,2012,237.3201512
High SDI,2013,210.8092228
High SDI,2014,200.1409005
High SDI,2015,191.0657626
High SDI,2016,183.308608
High SDI,2017,172.0072096
High SDI,2018,168.5296427
High SDI,2019,160.8916029
High SDI,2020,59.51767838
High SDI,2021,42.83413138
High SDI,2022,157.5634006
High SDI,2023,149.9212223
High-middle SDI,1990,4005.967866
High-middle SDI,1991,3801.510499
High-middle SDI,1992,3427.155838
High-middle SDI,1993,3310.660597
High-middle SDI,1994,3202.116653
High-middle SDI,1995,3170.733167
High-middle SDI,1996,2969.685524
High-middle SDI,1997,2760.66822
High-middle SDI,1998,2614.511598
High-middle SDI,1999,2514.328737
High-middle SDI,2000,2408.787583
High-middle SDI,2001,2415.236924
High-middle SDI,2002,2368.38736
High-middle SDI,2003,2401.030884
High-middle SDI,2004,2264.64984
High-middle SDI,2005,2182.878412
High-middle SDI,2006,2133.956739
High-middle SDI,2007,2115.323666
High-middle SDI,2008,1982.616367
High-middle SDI,2009,2027.627755
High-middle SDI,2010,1905.898115
High-middle SDI,2011,1870.91862
High-middle SDI,2012,1832.385498
High-middle SDI,2013,1682.584384
High-middle SDI,2014,1611.533933
High-middle SDI,2015,1488.986795
High-middle SDI,2016,1371.033278
High-middle SDI,2017,1314.894653
High-middle SDI,2018,1287.867743
High-middle SDI,2019,1255.140138
High-middle SDI,2020,488.458249
High-middle SDI,2021,279.5180931
High-middle SDI,2022,1240.567166
High-middle SDI,2023,1158.77823
Low SDI,1990,15851.29057
Low SDI,1991,15089.53328
Low SDI,1992,14271.12737
Low SDI,1993,13575.2601
Low SDI,1994,13125.76707
Low SDI,1995,12801.39142
Low SDI,1996,12327.26482
Low SDI,1997,12103.00018
Low SDI,1998,11734.31833
