Location,Year,death_rate
Global,1990,83.44477657
Global,1991,79.79246438
Global,1992,75.50644864
Global,1993,72.59638789
Global,1994,70.98260995
Global,1995,70.22134772
Global,1996,67.72188754
Global,1997,66.38588288
Global,1998,64.89551279
Global,1999,63.86413342
Global,2000,62.03804359
Global,2001,60.5646049
Global,2002,58.71403185
Global,2003,57.55180846
Global,2004,53.86870722
Global,2005,50.89464887
Global,2006,48.44412698
Global,2007,47.02047727
Global,2008,44.15876683
Global,2009,43.33463793
Global,2010,41.74305092
Global,2011,40.51396253
Global,2012,40.10106556
Global,2013,39.44587932
Global,2014,39.47917926
Global,2015,38.97580816
Global,2016,38.04732336
Global,2017,37.8301176
Global,2018,37.06675441
Global,2019,36.59940753
Global,2020,20.83804813
Global,2021,15.7927709
Global,2022,36.60585681
Global,2023,36.10445367
High SDI,1990,14.29632827
High SDI,1991,13.67815779
High SDI,1992,12.97781661
High SDI,1993,12.75715316
High SDI,1994,12.50470104
High SDI,1995,11.94901098
High SDI,1996,11.50823104
High SDI,1997,10.41869186
High SDI,1998,9.580128697
High SDI,1999,8.54793397
High SDI,2000,7.812465805
High SDI,2001,7.053810282
High SDI,2002,6.365244555
High SDI,2003,5.906619893
High SDI,2004,5.171588233
High SDI,2005,4.608225178
High SDI,2006,4.005240294
High SDI,2007,3.741146124
High SDI,2008,3.505757612
High SDI,2009,3.222913685
High SDI,2010,2.963290595
High SDI,2011,2.746203794
High SDI,2012,2.487523471
High SDI,2013,2.196768357
High SDI,2014,2.079908642
High SDI,2015,1.976221228
High SDI,2016,1.884994245
High SDI,2017,1.754169117
High SDI,2018,1.708351846
High SDI,2019,1.613835131
High SDI,2020,0.59136121
High SDI,2021,0.421782644
High SDI,2022,1.563710802
High SDI,2023,1.483746877
High-middle SDI,1990,44.18907282
High-middle SDI,1991,41.94154732
High-middle SDI,1992,37.78986261
High-middle SDI,1993,36.50818522
High-middle SDI,1994,35.30998044
High-middle SDI,1995,34.97402459
High-middle SDI,1996,32.74564791
High-middle SDI,1997,30.43090938
High-middle SDI,1998,28.81703887
