Location,Year,Incidence_rate
Global,1990,9207.043568
Global,1991,8788.353953
Global,1992,8446.892658
Global,1993,8210.412449
Global,1994,8027.653194
Global,1995,7872.6877
Global,1996,7746.586354
Global,1997,7653.116348
Global,1998,7568.461372
Global,1999,7528.178709
Global,2000,7502.197907
Global,2001,7452.082305
Global,2002,7353.73206
Global,2003,7216.143274
Global,2004,7004.403052
Global,2005,6777.632306
Global,2006,6563.56706
Global,2007,6368.615971
Global,2008,6192.382985
Global,2009,6051.755291
Global,2010,5932.931115
Global,2011,5825.467062
Global,2012,5694.946503
Global,2013,5577.407316
Global,2014,5485.190634
Global,2015,5438.060935
Global,2016,5369.413791
Global,2017,5334.009426
Global,2018,5312.767096
Global,2019,5322.006658
Global,2020,2745.112569
Global,2021,2081.403607
Global,2022,5519.888602
Global,2023,5490.219641
High SDI,1990,4783.600016
High SDI,1991,4659.649201
High SDI,1992,4563.483479
High SDI,1993,4514.304463
High SDI,1994,4436.189402
High SDI,1995,4292.02786
High SDI,1996,4085.500554
High SDI,1997,3846.960075
High SDI,1998,3575.629051
High SDI,1999,3354.075403
High SDI,2000,3160.455997
High SDI,2001,2994.375875
High SDI,2002,2813.038732
High SDI,2003,2677.06578
High SDI,2004,2508.155385
High SDI,2005,2348.886588
High SDI,2006,2236.858547
High SDI,2007,2183.922279
High SDI,2008,2139.00581
High SDI,2009,2148.040368
High SDI,2010,2154.849938
High SDI,2011,2153.795033
High SDI,2012,2105.898292
High SDI,2013,2038.970939
High SDI,2014,2010.560054
High SDI,2015,2041.294315
High SDI,2016,2100.516415
High SDI,2017,2162.28143
High SDI,2018,2253.226963
High SDI,2019,2373.94264
High SDI,2020,951.960016
High SDI,2021,734.581406
High SDI,2022,2540.329065
High SDI,2023,2471.644271
High-middle SDI,1990,7175.272569
High-middle SDI,1991,6700.628178
High-middle SDI,1992,6310.925855
High-middle SDI,1993,6052.215657
High-middle SDI,1994,5866.414374
High-middle SDI,1995,5672.544032
High-middle SDI,1996,5447.13261
High-middle SDI,1997,5196.769762
High-middle SDI,1998,4951.413338
High-middle SDI,1999,4792.856045
High-middle SDI,2000,4706.057233
High-middle SDI,2001,4682.084324
High-middle SDI,2002,4634.933512
High-middle SDI,2003,4598.048155
High-middle SDI,2004,4520.539675
High-middle SDI,2005,4456.362993
High-middle SDI,2006,4377.080763
High-middle SDI,2007,4343.72544
High-middle SDI,2008,4343.151428
High-middle SDI,2009,4359.203165
High-middle SDI,2010,4374.558441
High-middle SDI,2011,4373.109867
High-middle SDI,2012,4294.706986
High-middle SDI,2013,4131.056468
High-middle SDI,2014,3990.819453
High-middle SDI,2015,3882.054981
High-middle SDI,2016,3798.953574
High-middle SDI,2017,3752.436087
High-middle SDI,2018,3785.025401
High-middle SDI,2019,3886.907761
High-middle SDI,2020,1366.154698
High-middle SDI,2021,826.302536
High-middle SDI,2022,4302.670273
High-middle SDI,2023,4254.830284
Low SDI,1990,13947.64956
Low SDI,1991,13302.62184
Low SDI,1992,12727.5339
Low SDI,1993,12242.98798
Low SDI,1994,11884.52373
Low SDI,1995,11660.3001
Low SDI,1996,11575.0614
Low SDI,1997,11580.54515
Low SDI,1998,11616.98858
Low SDI,1999,11657.98345
Low SDI,2000,11676.00738
Low SDI,2001,11609.60361
Low SDI,2002,11466.27361
Low SDI,2003,11224.35919
Low SDI,2004,10848.35222
Low SDI,2005,10473.83472
Low SDI,2006,10141.06124
Low SDI,2007,9816.370562
Low SDI,2008,9491.300958
Low SDI,2009,9217.337489
Low SDI,2010,8969.462893
Low SDI,2011,8750.61622
Low SDI,2012,8561.90519
Low SDI,2013,8405.215009
Low SDI,2014,8295.255918
Low SDI,2015,8200.424824
Low SDI,2016,8108.958434
Low SDI,2017,7998.771878
Low SDI,2018,7885.82983
Low SDI,2019,7726.33192
Low SDI,2020,4568.272488
Low SDI,2021,3564.434814
Low SDI,2022,7586.784717
Low SDI,2023,7539.686016
Low-middle SDI,1990,11924.36024
Low-middle SDI,1991,11228.4594
Low-middle SDI,1992,10605.8686
Low-middle SDI,1993,10095.55655
Low-middle SDI,1994,9730.976317
Low-middle SDI,1995,9451.988051
Low-middle SDI,1996,9248.059126
Low-middle SDI,1997,9148.317999
Low-middle SDI,1998,9148.687559
Low-middle SDI,1999,9187.820515
Low-middle SDI,2000,9253.377923
Low-middle SDI,2001,9269.383606
Low-middle SDI,2002,9190.962774
Low-middle SDI,2003,9017.146809
Low-middle SDI,2004,8792.168275
Low-middle SDI,2005,8506.79258
Low-middle SDI,2006,8210.098041
Low-middle SDI,2007,7899.340646
Low-middle SDI,2008,7595.822531
Low-middle SDI,2009,7295.488677
Low-middle SDI,2010,7017.711113
Low-middle SDI,2011,6801.117894
Low-middle SDI,2012,6639.108832
Low-middle SDI,2013,6486.737188
Low-middle SDI,2014,6377.890545
Low-middle SDI,2015,6286.640134
Low-middle SDI,2016,6143.006789
Low-middle SDI,2017,5955.709725
Low-middle SDI,2018,5738.954362
Low-middle SDI,2019,5549.029801
Low-middle SDI,2020,2690.205365
Low-middle SDI,2021,1888.93833
Low-middle SDI,2022,5522.86021
Low-middle SDI,2023,5442.306707
Middle SDI,1990,8768.288212
Middle SDI,1991,8231.293626
Middle SDI,1992,7839.775675
Middle SDI,1993,7658.924378
Middle SDI,1994,7453.906123
Middle SDI,1995,7253.924309
Middle SDI,1996,7055.460435
Middle SDI,1997,6851.451452
Middle SDI,1998,6570.439124
Middle SDI,1999,6388.407385
Middle SDI,2000,6223.003048
Middle SDI,2001,6059.409844
Middle SDI,2002,5905.629233
Middle SDI,2003,5733.61618
Middle SDI,2004,5537.270014
Middle SDI,2005,5352.311046
Middle SDI,2006,5199.378991
Middle SDI,2007,5076.301934
Middle SDI,2008,5013.894062
Middle SDI,2009,4911.98845
Middle SDI,2010,4777.28406
Middle SDI,2011,4633.409904
Middle SDI,2012,4523.995364
Middle SDI,2013,4605.586691
Middle SDI,2014,4550.609826
Middle SDI,2015,4682.579282
Middle SDI,2016,4634.246247
Middle SDI,2017,4706.494619
Middle SDI,2018,4612.171572
Middle SDI,2019,4658.049445
Middle SDI,2020,1929.748327
Middle SDI,2021,1379.99579
Middle SDI,2022,4834.095439
Middle SDI,2023,4763.889651
